order,feature,cell_type,gene,age_pearson,abs_corr,modality,source_mode,required_from_model
32,CD4_Naïve__SERPINE2,CD4_Naïve,SERPINE2,-0.4360464664275614,0.4360464664275614,RNA,model_prediction,True
33,cMono__KANSL1,cMono,KANSL1,-0.4359045875103447,0.4359045875103447,RNA,model_prediction,True
34,Naïve_B__PIK3IP1,Naïve_B,PIK3IP1,-0.4352298430380945,0.4352298430380945,RNA,model_prediction,True
35,cMono__BTG1,cMono,BTG1,-0.4336694850331348,0.4336694850331348,RNA,model_prediction,True
36,CD4_Naïve__RNF20,CD4_Naïve,RNF20,0.4324266079365509,0.4324266079365509,RNA,model_prediction,True
37,CD8_CTL__TBC1D4,CD8_CTL,TBC1D4,-0.4314588900234048,0.4314588900234048,RNA,model_prediction,True
38,cMono__SF3B1,cMono,SF3B1,-0.430165773170255,0.430165773170255,RNA,model_prediction,True
39,Prolif.T__SLC25A10,Prolif.T,SLC25A10,0.4296479145385019,0.4296479145385019,RNA,model_prediction,True
40,CD4_Naïve__ATRX,CD4_Naïve,ATRX,0.4279647179991624,0.4279647179991624,RNA,model_prediction,True
41,CD8_CTL__HIF1A,CD8_CTL,HIF1A,-0.4268538496088239,0.4268538496088239,RNA,model_prediction,True
42,Swit.Bm__MAPK8IP3,Swit.Bm,MAPK8IP3,-0.4262588388995408,0.4262588388995408,RNA,model_prediction,True
43,CD4_Naïve__GYPC,CD4_Naïve,GYPC,-0.4250454912702226,0.4250454912702226,RNA,model_prediction,True
44,cMono__IRF2BP2,cMono,IRF2BP2,-0.4222837024837915,0.4222837024837915,RNA,model_prediction,True
45,cMono__KIAA0319L,cMono,KIAA0319L,-0.4215473812807024,0.4215473812807024,RNA,model_prediction,True
46,cMono__UQCRB,cMono,UQCRB,-0.4214660968143199,0.4214660968143199,RNA,model_prediction,True
47,Swit.Bm__IGHM,Swit.Bm,IGHM,-0.4205423678905916,0.4205423678905916,RNA,model_prediction,True
48,CD4_Naïve__STAT4,CD4_Naïve,STAT4,0.4200881252593672,0.4200881252593672,RNA,model_prediction,True
49,cMono__MAP2K3,cMono,MAP2K3,-0.41893120356828,0.41893120356828,RNA,model_prediction,True
50,DC__SF3B1,DC,SF3B1,-0.4182230269920214,0.4182230269920214,RNA,model_prediction,True
51,CD4_Tcm__SF3B1,CD4_Tcm,SF3B1,-0.4182001681285671,0.4182001681285671,RNA,model_prediction,True
52,CD4_Naïve__IL2RB,CD4_Naïve,IL2RB,0.4175555365481885,0.4175555365481885,RNA,model_prediction,True
53,CD4_Naïve__IRF2BP2,CD4_Naïve,IRF2BP2,-0.4155977799273421,0.4155977799273421,RNA,model_prediction,True
54,cMono__RASSF5,cMono,RASSF5,-0.4152645225808312,0.4152645225808312,RNA,model_prediction,True
55,CD8_CTL__SF3B1,CD8_CTL,SF3B1,-0.4146143378073207,0.4146143378073207,RNA,model_prediction,True
56,Swit.Bm__SF3B1,Swit.Bm,SF3B1,-0.4143001008850165,0.4143001008850165,RNA,model_prediction,True
57,CD8_CTL__UXT,CD8_CTL,UXT,-0.4128137179212001,0.4128137179212001,RNA,model_prediction,True
