order,feature,cell_type,gene,age_pearson,abs_corr,modality,source_mode,required_from_model
22,DC__RHOC,DC,RHOC,0.4406782140500088,0.4406782140500088,RNA,model_prediction,True
23,cMono__TIMP1,cMono,TIMP1,0.4358537171358693,0.4358537171358693,RNA,model_prediction,True
24,cMono__ARPC4,cMono,ARPC4,0.4349402987861006,0.4349402987861006,RNA,model_prediction,True
25,CD4_Naïve__KIF21A,CD4_Naïve,KIF21A,0.4333671521911468,0.4333671521911468,RNA,model_prediction,True
26,CD4_Tcm__GPSM3,CD4_Tcm,GPSM3,0.4327690565932333,0.4327690565932333,RNA,model_prediction,True
27,CD4_Helper__TSHZ2,CD4_Helper,TSHZ2,0.4324800759775764,0.4324800759775764,RNA,model_prediction,True
28,γδT2__THSD1,γδT2,THSD1,0.4293971849620708,0.4293971849620708,RNA,model_prediction,True
29,DC__TUBA1A,DC,TUBA1A,0.427161767771801,0.427161767771801,RNA,model_prediction,True
30,DC__ATP1B3,DC,ATP1B3,0.4268621736545804,0.4268621736545804,RNA,model_prediction,True
31,cMono__BTG1,cMono,BTG1,-0.4263891736054863,0.4263891736054863,RNA,model_prediction,True
32,cMono__TRA2B,cMono,TRA2B,-0.4257209900628975,0.4257209900628975,RNA,model_prediction,True
33,CD4_Treg__PBXIP1,CD4_Treg,PBXIP1,0.4240632080073204,0.4240632080073204,RNA,model_prediction,True
34,CD4_Naïve__IRF2BP2,CD4_Naïve,IRF2BP2,-0.4234109799532489,0.4234109799532489,RNA,model_prediction,True
35,NKT__ADGRG1,NKT,ADGRG1,0.4225914787795754,0.4225914787795754,RNA,model_prediction,True
36,DC__TBCB,DC,TBCB,0.4223235081113237,0.4223235081113237,RNA,model_prediction,True
37,CD4_Naïve__NREP,CD4_Naïve,NREP,-0.4220148815177722,0.4220148815177722,RNA,model_prediction,True
38,DC__SELPLG,DC,SELPLG,0.4208174879410264,0.4208174879410264,RNA,model_prediction,True
39,CD8_CTL__EEF1B2,CD8_CTL,EEF1B2,-0.4201050336632773,0.4201050336632773,RNA,model_prediction,True
40,CD4_Naïve__SATB1,CD4_Naïve,SATB1,-0.4199162084585738,0.4199162084585738,RNA,model_prediction,True
41,DC__MAPKAPK3,DC,MAPKAPK3,0.4198916476341653,0.4198916476341653,RNA,model_prediction,True
