feature,age_pearson,abs_corr,modality
Naïve_B__CD1C,0.32654982697990687,0.32654982697990687,RNA
CD8_Tem__CSKMT,-0.32639540411661677,0.32639540411661677,RNA
CD8_CTL__FUT11,0.3263247302810733,0.3263247302810733,RNA
DC__RCAN3,-0.3258875160364923,0.3258875160364923,RNA
CD4_Naïve__IRF3,0.32571803701379964,0.32571803701379964,RNA
NKT__EEF1B2,-0.3256986863428777,0.3256986863428777,RNA
NKT__SERPINB1,0.32564238212880003,0.32564238212880003,RNA
CD8_Tem__ABCB1,0.3256187367483862,0.3256187367483862,RNA
immature_T__ZNF90,0.3250436374269427,0.3250436374269427,RNA
CD4_Treg__PLAC8,-0.32502896897603384,0.32502896897603384,RNA
CD4_Naïve__MAZ,0.3250190085067873,0.3250190085067873,RNA
CD8_CTL__RTF1,0.3249816760844017,0.3249816760844017,RNA
DC__TRAFD1,0.3248901558368985,0.3248901558368985,RNA
NKT__ABI3,0.3247269048531914,0.3247269048531914,RNA
DC__NELL2,-0.32468907824438537,0.32468907824438537,RNA
CD4_Naïve__PDE7B,-0.3246352771873492,0.3246352771873492,RNA
NKT__ANXA6,0.32461643170364635,0.32461643170364635,RNA
NKbright__WBP1L,0.32457199846991164,0.32457199846991164,RNA
CD4_Tcm__TCF4,0.32421994875048143,0.32421994875048143,RNA
NKbright__SLC35A4,0.32408666653986895,0.32408666653986895,RNA
DC__TNFAIP3,-0.323939972315387,0.323939972315387,RNA
CD8_CTL__ADRB2,0.3238436022018356,0.3238436022018356,RNA
DC__PTPN6,0.32380015600146045,0.32380015600146045,RNA
CD8_CTL__EIF3M,-0.32369216432529346,0.32369216432529346,RNA
CD4_Tcm__MEOX1,0.32353473610890315,0.32353473610890315,RNA
NKbright__IL2RB,0.3235339528273068,0.3235339528273068,RNA
NKT__TMBIM4,0.3232138772755297,0.3232138772755297,RNA
cMono__MAPK8IP3,-0.3231424845494425,0.3231424845494425,RNA
DC__RNF145,-0.3226607329511026,0.3226607329511026,RNA
cMono__SF3B1,-0.3225687682232916,0.3225687682232916,RNA
Transit.NK__GOLM1,0.32229378878335513,0.32229378878335513,RNA
NKbright__VAMP2,0.322286712991203,0.322286712991203,RNA
DC__CD53,0.32218817027803776,0.32218817027803776,RNA
DC__CLK3,-0.3221806154960926,0.3221806154960926,RNA
CD4_Helper__SYNE2,0.32188923820609106,0.32188923820609106,RNA
NKT__TSC22D3,-0.32184619092064937,0.32184619092064937,RNA
Swit.Bm__SATB1,-0.3218370241121438,0.3218370241121438,RNA
CD4_Naïve__KIF3B,0.3217412254980453,0.3217412254980453,RNA
NKT__S100A11,0.32167953038456065,0.32167953038456065,RNA
CD4_Tcm__ATP5MF,0.32135592595384965,0.32135592595384965,RNA
immature_T__DDX39B,-0.3212797768180996,0.3212797768180996,RNA
CD4_Naïve__PLP2,0.32125188572139307,0.32125188572139307,RNA
CD4_Treg__NOP53,-0.3211501658138995,0.3211501658138995,RNA
DC__CHKA,-0.3210984711576732,0.3210984711576732,RNA
CD4_Tcm__RNF149,0.3209533352766207,0.3209533352766207,RNA
DC__SLC17A9,-0.3205570415433328,0.3205570415433328,RNA
cMono__RGS2,-0.32048611157885953,0.32048611157885953,RNA
cMono__C19orf38,-0.3204454178271156,0.3204454178271156,RNA
CD4_Tcm__CR1,-0.3203969966266394,0.3203969966266394,RNA
