feature,age_pearson,abs_corr,modality
CD8_CTL__LEPROTL1,-0.38987153386683515,0.38987153386683515,RNA
CD4_Tcm__PPIG,0.3896155128291312,0.3896155128291312,RNA
CD4_Tcm__PIK3IP1,-0.3893577672802567,0.3893577672802567,RNA
CD4_Treg__NR1D2,0.38915457839705275,0.38915457839705275,RNA
DC__GOLGA8B,-0.3886391711890952,0.3886391711890952,RNA
CD8_Tem__B3GNT2,-0.3882209520923833,0.3882209520923833,RNA
cMono__YBX3,-0.38789304878113967,0.38789304878113967,RNA
cMono__ZFP36L2,-0.38779598556721656,0.38779598556721656,RNA
CD4_Tcm__DIP2A,-0.38687778612442647,0.38687778612442647,RNA
CD4_Naïve__MDN1,0.3867863530688096,0.3867863530688096,RNA
cMono__LGALS8,-0.3862605909408123,0.3862605909408123,RNA
CD8_CTL__CCNL1,-0.3862383715548028,0.3862383715548028,RNA
CD4_Treg__TTN,0.3859023014436309,0.3859023014436309,RNA
CD4_Helper__SYNC,0.3854489710783501,0.3854489710783501,RNA
Prolif.T__PIK3IP1,-0.38544799044579353,0.38544799044579353,RNA
CD4_Treg__ITGB1,0.38526697471309823,0.38526697471309823,RNA
CD8_Tem__RTN4R,0.385057309363016,0.385057309363016,RNA
CD4_Naïve__EDAR,-0.3849952732804123,0.3849952732804123,RNA
Naïve_B__SMC6,0.3848349746830613,0.3848349746830613,RNA
CD8_CTL__EIF4A2,-0.38481097325119407,0.38481097325119407,RNA
CD4_Treg__GLIPR2,0.38480925964044826,0.38480925964044826,RNA
cMono__ACTG1,0.3836005903784618,0.3836005903784618,RNA
CD4_Helper__NFIC,0.38352447165772513,0.38352447165772513,RNA
CD4_Naïve__SPEF2,0.3834344658903603,0.3834344658903603,RNA
cMono__PUM1,-0.383052831250685,0.383052831250685,RNA
CD8_CTL__RAB8A,0.3830381994858404,0.3830381994858404,RNA
CD8_CTL__GNAI2,0.3829896167631582,0.3829896167631582,RNA
CD8_CTL__BTF3,-0.3827491464237708,0.3827491464237708,RNA
Swit.Bm__RGS10,-0.38214289653682953,0.38214289653682953,RNA
CD8_CTL__ISG20,-0.382041513509721,0.382041513509721,RNA
cMono__TSC22D3,-0.38201907585121664,0.38201907585121664,RNA
cMono__PHC3,-0.38186818122982236,0.38186818122982236,RNA
CD4_Tcm__BIRC3,0.38161797518840157,0.38161797518840157,RNA
CD8_CTL__DNAJB1,-0.3813595414296992,0.3813595414296992,RNA
DC__TUBA1A,0.38113965116004955,0.38113965116004955,RNA
CD4_Naïve__CWF19L2,0.380146893924776,0.380146893924776,RNA
DC__KAT2A,-0.3788967533898461,0.3788967533898461,RNA
CD4_Treg__ZFP36L2,-0.37882205881881365,0.37882205881881365,RNA
CD4_Helper__SH3BP5,0.37828267332100196,0.37828267332100196,RNA
DC__S100A11,0.37811641357315096,0.37811641357315096,RNA
Swit.Bm__DPF3,0.37776072599016247,0.37776072599016247,RNA
cMono__PCBP2,-0.3774740625881312,0.3774740625881312,RNA
DC__TPPP3,0.37745552757677847,0.37745552757677847,RNA
CD4_Tcm__LGALS1,0.37624795018541457,0.37624795018541457,RNA
Swit.Bm__GNAI2,0.376113713441266,0.376113713441266,RNA
cMono__CYB5R3,-0.3760559038377311,0.3760559038377311,RNA
CD4_Naïve__MARCKSL1,-0.3759588088690381,0.3759588088690381,RNA
CD8_CTL__NEIL1,-0.37490948977830707,0.37490948977830707,RNA
CD4_Tcm__NSG1,-0.37485199352710336,0.37485199352710336,RNA
CD8_CTL__TMIGD2,-0.37475880412606016,0.37475880412606016,RNA
DC__P2RY13,0.37467391817339873,0.37467391817339873,RNA
CD8_Tem__PLD1,0.3744422405435927,0.3744422405435927,RNA
CD8_CTL__IRF2BP2,-0.37429995376144437,0.37429995376144437,RNA
cMono__KDM2A,-0.3732946933607159,0.3732946933607159,RNA
